s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CABLE_FUEL,MLR_PRODUCTS,MLR_HYDROGEN CYANIDE
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5934563E-003, 1.0268343E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5933536E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6091309E-001, 0.0000000E+000, 0.0000000E+000,-3.0275811E-005,-6.6484753E-007,-3.6998590E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2125765E-005,-3.0944359E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.9136965E-001, 0.0000000E+000, 0.0000000E+000,-1.3464199E-005,-3.7753644E-007,-1.1373517E-008,-1.0095559E-019, 0.0000000E+000, 0.0000000E+000,-4.1471811E-005,-1.3853109E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2182618E-001, 0.0000000E+000, 0.0000000E+000,-1.3456392E-005,-3.7093951E-007,-1.7624253E-008,-5.0113261E-020, 0.0000000E+000, 0.0000000E+000,-2.1471532E-005,-1.3844956E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3827393E+000, 0.0000000E+000, 0.0000000E+000,-9.6421382E-006,-3.2345014E-007,-2.6881554E-008,-1.1253366E-019, 0.0000000E+000, 0.0000000E+000,-2.0922955E-005,-9.9924699E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6131958E+000, 0.0000000E+000, 0.0000000E+000,-5.8303434E-006,-2.8050020E-007,-2.8843884E-008,-1.0517905E-019, 0.0000000E+000, 0.0000000E+000,-1.3942285E-005,-6.1396875E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8436524E+000, 0.0000000E+000, 0.0000000E+000,-5.8251879E-006,-2.9119594E-007,-1.1075585E-008,-2.7363392E-019, 0.0000000E+000, 0.0000000E+000,-1.4180209E-005,-6.1274594E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3045654E+000, 0.0000000E+000, 0.0000000E+000,-2.5384001E-006,-2.5037828E-007, 6.0897925E-009,-1.3768621E-019, 0.0000000E+000, 0.0000000E+000,-1.2495892E-005,-2.7826886E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5350220E+000, 0.0000000E+000, 0.0000000E+000,-2.5325114E-006,-2.6641393E-007, 1.2868503E-008,-1.8877200E-019, 0.0000000E+000, 0.0000000E+000,-1.0794775E-005,-2.7860568E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7654786E+000, 0.0000000E+000, 0.0000000E+000,-1.1128586E-006,-2.5441592E-007, 1.8718142E-008,-1.6069104E-019, 0.0000000E+000, 0.0000000E+000,-1.0820485E-005,-1.3485563E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2263916E+000, 0.0000000E+000, 0.0000000E+000,-1.1076986E-006,-2.7233229E-007, 3.1863409E-008,-6.9732344E-020, 0.0000000E+000, 0.0000000E+000,-9.4638639E-006,-1.3481674E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4568481E+000, 0.0000000E+000, 0.0000000E+000,-4.6953070E-007,-2.8082497E-007, 1.9156554E-008,-1.1981364E-019, 0.0000000E+000, 0.0000000E+000,-9.5458317E-006,-7.3119912E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6873047E+000, 0.0000000E+000, 0.0000000E+000,-4.6627914E-007,-2.9326149E-007, 3.3689266E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9379898E-006,-7.2585136E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9177613E+000, 0.0000000E+000, 0.0000000E+000,-4.6301320E-007,-3.0673285E-007, 3.6772761E-008,-1.0211193E-019, 0.0000000E+000, 0.0000000E+000,-8.9769652E-006,-7.3297328E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
